type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	2026-07-01 15:24:40	T1	-0.6332097854	-76.153040221	9929996.99547238	371694.55803139		False	False			236.33			2026/07/01 11:01:46+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:01:46		
TRACK	2026-07-01 15:24:40	T1	-0.6331893336	-76.1530006584	9929999.25745366	371698.960485607		False	False			236.48			2026/07/01 11:02:06+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:02:06		
TRACK	2026-07-01 15:24:40	T1	-0.6331997272	-76.1529909354	9929998.10865368	371700.04282253		False	False			236.48			2026/07/01 11:02:26+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:02:26		
TRACK	2026-07-01 15:24:40	T1	-0.6331901718	-76.1529949587	9929999.16492946	371699.594830922		False	False			236.49			2026/07/01 11:02:46+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:02:46		
TRACK	2026-07-01 15:24:40	T1	-0.6331802811	-76.1530014966	9930000.25821133	371698.866978993		False	False			236.81			2026/07/01 11:03:06+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:03:06		
TRACK	2026-07-01 15:24:40	T1	-0.6331808679	-76.1530164164	9930000.19296969	371697.20655554		False	False			236.78			2026/07/01 11:03:26+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:03:26		
TRACK	2026-07-01 15:24:40	T1	-0.633170139	-76.153012896	9930001.37916581	371697.598080196		False	False			237.05			2026/07/01 11:03:46+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:03:46		
TRACK	2026-07-01 15:24:40	T1	-0.6331599131	-76.1530405562	9930002.50898213	371694.519500346		False	False			236.64			2026/07/01 11:04:06+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:04:06		
TRACK	2026-07-01 15:24:40	T1	-0.6331014074	-76.1530215293	9930008.97741689	371696.635582599		False	False			236.64			2026/07/01 11:04:26+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:04:26		
TRACK	2026-07-01 15:24:40	T1	-0.6331066042	-76.1530315038	9930008.40264968	371695.525639324		False	False			236.7			2026/07/01 11:04:46+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:04:46		
TRACK	2026-07-01 15:24:40	T1	-0.6331327558	-76.1530335993	9930005.51146751	371695.293072236		False	False			236.84			2026/07/01 11:05:06+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:05:06		
TRACK	2026-07-01 15:24:40	T1	-0.6331244577	-76.1530430708	9930006.42861054	371694.238776486		False	False			236.89			2026/07/01 11:05:26+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:05:26		
TRACK	2026-07-01 15:24:40	T1	-0.6331507768	-76.1530398019	9930003.51904355	371694.603222422		False	False			237.03			2026/07/01 11:05:46+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:05:46		
TRACK	2026-07-01 15:24:40	T1	-0.6331643555	-76.1530093756	9930002.01863456	371697.989726455		False	False			237			2026/07/01 11:06:06+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:06:06		
TRACK	2026-07-01 15:24:40	T1	-0.6331309117	-76.1529858224	9930005.71652029	371700.610160856		False	False			237.07			2026/07/01 11:06:26+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:06:26		
TRACK	2026-07-01 15:24:40	T1	-0.6331190094	-76.1530210264	9930007.0314805	371696.691983558		False	False			236.96			2026/07/01 11:06:46+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:06:46		
TRACK	2026-07-01 15:24:40	T1	-0.6330935284	-76.1530481838	9930009.847802	371693.668985681		False	False			237.09			2026/07/01 11:07:06+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:07:06		
TRACK	2026-07-01 15:24:40	T1	-0.6330956239	-76.1530398857	9930009.61634418	371694.592540194		False	False			237.1			2026/07/01 11:07:26+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/01 06:07:26		
