type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	2026-07-11 17:49:09	T1	-0.6300756242	-76.1497669201	9930343.56600684	372058.769744542		False	False			238.9			2026/07/11 10:52:57+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:52:57		
TRACK	2026-07-11 17:49:09	T1	-0.6300228182	-76.1496903095	9930349.40572807	372067.2945136		False	False			238.87			2026/07/11 10:53:17+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:53:17		
TRACK	2026-07-11 17:49:09	T1	-0.6300264224	-76.1497087497	9930349.00682159	372065.242376346		False	False			238.9			2026/07/11 10:53:37+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:53:37		
TRACK	2026-07-11 17:49:09	T1	-0.629993733	-76.1496752221	9930352.62154249	372068.972893351		False	False			239.06			2026/07/11 10:53:57+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:53:57		
TRACK	2026-07-11 17:49:09	T1	-0.6299702637	-76.1496732943	9930355.2161815	372069.186867312		False	False			238.86			2026/07/11 10:54:17+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:54:17		
TRACK	2026-07-11 17:49:09	T1	-0.6299794	-76.1497060675	9930354.20533516	372065.539733493		False	False			238.84			2026/07/11 10:54:37+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:54:37		
TRACK	2026-07-11 17:49:09	T1	-0.629990967	-76.149712773	9930352.92640878	372064.79375499		False	False			239.22			2026/07/11 10:54:57+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:54:57		
TRACK	2026-07-11 17:49:09	T1	-0.6300143525	-76.1497418582	9930350.34036708	372061.557409369		False	False			239.09			2026/07/11 10:55:17+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:55:17		
TRACK	2026-07-11 17:49:09	T1	-0.6299902964	-76.1497522518	9930352.99957581	372060.400110091		False	False			239.35			2026/07/11 10:55:37+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:55:37		
TRACK	2026-07-11 17:49:09	T1	-0.6299659051	-76.149773458	9930355.69557625	372058.039459358		False	False			239.19			2026/07/11 10:55:57+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:55:57		
TRACK	2026-07-11 17:49:09	T1	-0.6299762148	-76.1497676745	9930354.55595431	372058.683361412		False	False			239.22			2026/07/11 10:56:17+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:56:17		
TRACK	2026-07-11 17:49:09	T1	-0.6299660727	-76.14975309	9930355.67754783	372060.306235171		False	False			238.94			2026/07/11 10:56:37+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:56:37		
TRACK	2026-07-11 17:49:09	T1	-0.6299590319	-76.1497576162	9930356.45581531	372059.802338837		False	False			238.98			2026/07/11 10:56:57+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:56:57		
TRACK	2026-07-11 17:49:09	T1	-0.6299542543	-76.1497388408	9930356.9844524	372061.891752224		False	False			239.08			2026/07/11 10:57:17+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:57:17		
TRACK	2026-07-11 17:49:09	T1	-0.629952997	-76.1497349013	9930357.1235469	372062.330151794		False	False			238.87			2026/07/11 10:57:37+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:57:37		
TRACK	2026-07-11 17:49:09	T1	-0.6299648993	-76.1497143656	9930355.8082212	372064.615877305		False	False			238.77			2026/07/11 10:57:57+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:57:57		
TRACK	2026-07-11 17:49:09	T1	-0.6299923919	-76.1497130245	9930352.76887623	372064.765800105		False	False			238.73			2026/07/11 10:58:17+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:58:17		
TRACK	2026-07-11 17:49:09	T1	-0.6299869437	-76.149676647	9930353.37208213	372068.814149427		False	False			238.52			2026/07/11 10:58:37+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:58:37		
TRACK	2026-07-11 17:49:09	T1	-0.6299941521	-76.1497235019	9930352.57402427	372063.599804479		False	False			238.53			2026/07/11 10:58:57+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:58:57		
TRACK	2026-07-11 17:49:09	T1	-0.6299848482	-76.149725765	9930353.60253886	372063.347715225		False	False			238.69			2026/07/11 10:59:17+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:59:17		
TRACK	2026-07-11 17:49:09	T1	-0.6299902126	-76.1497297045	9930353.00939384	372062.909415853		False	False			238.62			2026/07/11 10:59:37+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:59:37		
TRACK	2026-07-11 17:49:09	T1	-0.63000069	-76.1497286987	9930351.85111492	372063.021607773		False	False			238.59			2026/07/11 10:59:57+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 05:59:57		
TRACK	2026-07-11 17:49:09	T1	-0.6300011091	-76.149728531	9930351.80478645	372063.040281471		False	False			238.63			2026/07/11 11:00:17+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 06:00:17		
TRACK	2026-07-11 17:49:09	T1	-0.6300439406	-76.14971512	9930347.06998291	372064.533847746		False	False			238.72			2026/07/11 11:00:37+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 06:00:37		
TRACK	2026-07-11 17:49:09	T1	-0.6300213933	-76.1497174669	9930349.56258749	372064.272109217		False	False			238.62			2026/07/11 11:00:57+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 06:00:57		
TRACK	2026-07-11 17:49:09	T1	-0.6299863569	-76.1497219931	9930353.43584081	372063.767529922		False	False			238.78			2026/07/11 11:01:17+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 06:01:17		
TRACK	2026-07-11 17:49:09	T1	-0.6299903803	-76.1497100908	9930352.99133585	372065.092244948		False	False			238.72			2026/07/11 11:01:37+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 06:01:37		
TRACK	2026-07-11 17:49:09	T1	-0.6299748737	-76.1497147847	9930354.70551524	372064.569478634		False	False			238.66			2026/07/11 11:01:57+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 06:01:57		
TRACK	2026-07-11 17:49:09	T1	-0.6299297791	-76.1497225799	9930359.69064826	372063.700844315		False	False			238.64			2026/07/11 11:02:17+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 06:02:17		
TRACK	2026-07-11 17:49:09	T1	-0.6299625523	-76.1496758088	9930356.06863492	372068.906838412		False	False			238.54			2026/07/11 11:02:37+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 06:02:37		
TRACK	2026-07-11 17:49:09	T1	-0.6299567688	-76.1497015413	9930356.70738388	372066.042905999		False	False			238.56			2026/07/11 11:02:57+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 06:02:57		
TRACK	2026-07-11 17:49:09	T1	-0.6299920566	-76.1497058161	9930352.80612153	372065.568020761		False	False			238.65			2026/07/11 11:03:17+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 06:03:17		
TRACK	2026-07-11 17:49:09	T1	-0.6299819145	-76.14970305	9930353.92742479	372065.875614919		False	False			238.43			2026/07/11 11:03:37+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 06:03:37		
TRACK	2026-07-11 17:49:09	T1	-0.6300003547	-76.1497046426	9930351.88877398	372065.698822983		False	False			238.4			2026/07/11 11:03:57+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 06:03:57		
TRACK	2026-07-11 17:49:09	T1	-0.6299785618	-76.1496882141	9930354.29843876	372067.526632786		False	False			238.41			2026/07/11 11:04:17+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 06:04:17		
TRACK	2026-07-11 17:49:09	T1	-0.629975209	-76.1496444605	9930354.67017387	372072.395925493		False	False			238.41			2026/07/11 11:04:37+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 06:04:37		
TRACK	2026-07-11 17:49:09	T1	-0.6299862731	-76.1496862862	9930353.44598199	372067.741378489		False	False			238.15			2026/07/11 11:04:57+00	garmin GPSMAP 64sc WW Software Version 290		2026/07/11 06:04:57		
