type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	2026-07-11 17:44:28	T1	-0.6299737841	-76.1496510822	9930354.82753764	372071.658956246		False	False			232.72			2026/07/11 10:53:07+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:53:07		
TRACK	2026-07-11 17:44:28	T1	-0.6299737841	-76.1496471427	9930354.82763437	372072.097386472		False	False			231.88			2026/07/11 10:53:27+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:53:27		
TRACK	2026-07-11 17:44:28	T1	-0.6299757957	-76.1496545188	9930354.60506568	372071.276543247		False	False			230.98			2026/07/11 10:53:47+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:53:47		
TRACK	2026-07-11 17:44:28	T1	-0.6299807411	-76.149659045	9930354.05822781	372070.772939324		False	False			231.4			2026/07/11 10:54:07+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:54:07		
TRACK	2026-07-11 17:44:28	T1	-0.629991889	-76.1496537644	9930352.82592838	372071.360893619		False	False			231.32			2026/07/11 10:54:27+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:54:27		
TRACK	2026-07-11 17:44:28	T1	-0.6300036237	-76.1496550217	9930351.52859616	372071.221253913		False	False			232.01			2026/07/11 10:54:47+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:54:47		
TRACK	2026-07-11 17:44:28	T1	-0.6300064735	-76.1496624816	9930351.21336022	372070.39110497		False	False			231.16			2026/07/11 10:55:07+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:55:07		
TRACK	2026-07-11 17:44:28	T1	-0.6300053839	-76.1496706959	9930351.33361659	372069.476902124		False	False			232.08			2026/07/11 10:55:27+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:55:27		
TRACK	2026-07-11 17:44:28	T1	-0.6300032884	-76.1496649962	9930351.56541949	372070.11117535		False	False			232.23			2026/07/11 10:55:47+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:55:47		
TRACK	2026-07-11 17:44:28	T1	-0.629993733	-76.1496719532	9930352.62162277	372069.336691947		False	False			232.12			2026/07/11 10:56:07+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:56:07		
TRACK	2026-07-11 17:44:28	T1	-0.6299813278	-76.1496792454	9930353.99287056	372068.524834339		False	False			231.66			2026/07/11 10:56:27+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:56:27		
TRACK	2026-07-11 17:44:28	T1	-0.6299799867	-76.149675725	9930354.14121907	372068.916589867		False	False			231.35			2026/07/11 10:56:47+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:56:47		
TRACK	2026-07-11 17:44:28	T1	-0.6299679168	-76.149677569	9930355.47553238	372068.711075147		False	False			232			2026/07/11 10:57:07+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:57:07		
TRACK	2026-07-11 17:44:28	T1	-0.6299661566	-76.149673881	9930355.67021759	372069.121472797		False	False			232.67			2026/07/11 10:57:27+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:57:27		
TRACK	2026-07-11 17:44:28	T1	-0.6299619656	-76.1496693548	9930356.1336546	372069.625095127		False	False			232.62			2026/07/11 10:57:47+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:57:47		
TRACK	2026-07-11 17:44:28	T1	-0.6299568526	-76.1496923212	9930356.69834598	372067.069020647		False	False			231.47			2026/07/11 10:58:07+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:58:07		
TRACK	2026-07-11 17:44:28	T1	-0.6299782265	-76.1496952549	9930354.33533414	372066.743048119		False	False			231.63			2026/07/11 10:58:27+00	garmin GPSMAP 65 Software Version 460		2026/07/11 05:58:27		
