type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	2026-07-10 17:52:42	T1	-0.6243536342	-76.1501024477	9930976.13861021	372021.289577309		False	False			238.53			2026/07/10 14:20:17+00	garmin GPSMAP 65 Software Version 460		2026/07/10 09:20:17		
TRACK	2026-07-10 17:52:42	T1	-0.6243346911	-76.1501554213	9930978.23152936	372015.393635949		False	False			238.43			2026/07/10 14:20:37+00	garmin GPSMAP 65 Software Version 460		2026/07/10 09:20:37		
TRACK	2026-07-10 17:52:42	T1	-0.624320358	-76.1501729395	9930979.81566428	372013.443671838		False	False			238.04			2026/07/10 14:20:57+00	garmin GPSMAP 65 Software Version 460		2026/07/10 09:20:57		
TRACK	2026-07-10 17:52:42	T1	-0.6243765168	-76.1501640547	9930973.60737942	372014.433828096		False	False			237.9			2026/07/10 14:21:17+00	garmin GPSMAP 65 Software Version 460		2026/07/10 09:21:17		
TRACK	2026-07-10 17:52:42	T1	-0.6243137363	-76.1501654796	9930980.54789203	372014.273731199		False	False			240.14			2026/07/10 14:21:37+00	garmin GPSMAP 65 Software Version 460		2026/07/10 09:21:37		
TRACK	2026-07-10 17:52:42	T1	-0.6243516225	-76.1501536611	9930976.35976199	372015.589939805		False	False			240.04			2026/07/10 14:21:57+00	garmin GPSMAP 65 Software Version 460		2026/07/10 09:21:57		
TRACK	2026-07-10 17:52:42	T1	-0.6243610941	-76.1501464527	9930975.31282752	372016.392398703		False	False			237.88			2026/07/10 14:22:17+00	garmin GPSMAP 65 Software Version 460		2026/07/10 09:22:17		
TRACK	2026-07-10 17:52:42	T1	-0.6243307516	-76.1501003522	9930978.66839202	372021.52223413		False	False			236.33			2026/07/10 14:22:37+00	garmin GPSMAP 65 Software Version 460		2026/07/10 09:22:37		
TRACK	2026-07-10 17:52:42	T1	-0.624353718	-76.1501332931	9930976.12859492	372017.856764932		False	False			235.08			2026/07/10 14:22:57+00	garmin GPSMAP 65 Software Version 460		2026/07/10 09:22:57		
TRACK	2026-07-10 17:52:42	T1	-0.6243292429	-76.1501110811	9930978.83492152	372020.328167985		False	False			232.52			2026/07/10 14:23:17+00	garmin GPSMAP 65 Software Version 460		2026/07/10 09:23:17		
TRACK	2026-07-10 17:52:42	T1	-0.6243276503	-76.1501448601	9930979.01016521	372016.568831851		False	False			232.12			2026/07/10 14:23:37+00	garmin GPSMAP 65 Software Version 460		2026/07/10 09:23:37		
TRACK	2026-07-10 17:52:42	T1	-0.6243485212	-76.1501791421	9930976.70199836	372012.754059609		False	False			232.88			2026/07/10 14:23:57+00	garmin GPSMAP 65 Software Version 460		2026/07/10 09:23:57		
TRACK	2026-07-10 17:52:42	T1	-0.6243562326	-76.1501735263	9930975.84961979	372013.379233946		False	False			233.54			2026/07/10 14:24:17+00	garmin GPSMAP 65 Software Version 460		2026/07/10 09:24:17		
