MonitorID,lat,lon,y_proj,x_proj
MON01,-0.630778,-76.14524,9930266.028,372562.5911
MON02,-0.630909,-76.142923,9930251.602,372820.4546
MON03,-0.628646,-76.142863,9930501.783,372827.0772
MON04,-0.626264,-76.143046,9930765.115,372806.6535
MON05,-0.624087,-76.143182,9931005.784,372791.4655
MON06,-0.62389,-76.145324,9931027.511,372553.076
MON07,-0.624237,-76.147827,9930989.088,372274.5234
MON08,-0.624267,-76.150014,9930985.718,372031.1309
MON09,-0.624334,-76.152021,9930978.262,371807.7715
MON10,-0.626224,-76.152296,9930769.311,371777.2123
MON11,-0.628875,-76.152169,9930476.239,371791.4108
MON12,-0.630956,-76.152058,9930246.182,371803.815
MON13,-0.631049,-76.150072,9930235.949,372024.8409
MON14,-0.631121,-76.147777,9930228.046,372280.255
MON15,-0.628537,-76.147755,9930513.714,372282.6405
MON16,-0.628679,-76.149803,9930497.966,372054.7203
MON17,-0.626389,-76.149691,9930751.134,372067.1293
MON18,-0.626699,-76.147411,9930716.918,372320.8799
MON19,-0.626366,-76.145433,9930753.78,372541.005
MON20,-0.628671,-76.145365,9930498.959,372548.6286
