MonitorID,CameraID,DeploymentPeriodID,VideoID,Date,Time,CommonName,ScientificName,NumberOfIndividuals,IdentifiedBy,NeedsReview,Notes
MON01,NWJ20,DP20260607TO20260614,DSCF0027,6/9/2026,11:47,Pale-winged Trumpeter,Psophia leucoptera,1,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0028,6/9/2026,12:05,Pale-winged Trumpeter,Psophia leucoptera,1,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0030,6/9/2026,20:11,Nine Banded Armadillo,Dasypus novemcinctus,1,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0031,6/10/2026,6:29,Pale-winged Trumpeter,Psophia leucoptera,2,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0032,6/10/2026,6:29,Pale-winged Trumpeter,Psophia leucoptera,2,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0033,6/10/2026,6:30,Pale-winged Trumpeter,Psophia leucoptera,2,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0034,6/10/2026,6:30,Pale-winged Trumpeter,Psophia leucoptera,2,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0035,6/10/2026,6:30,Pale-winged Trumpeter,Psophia leucoptera,2,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0036,6/10/2026,6:31,Pale-winged Trumpeter,Psophia leucoptera,2,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0037,6/10/2026,6:33,Pale-winged Trumpeter,Psophia leucoptera,2,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0038,6/10/2026,6:35,Pale-winged Trumpeter,Psophia leucoptera,2,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0039,6/10/2026,6:37,Pale-winged Trumpeter,Psophia leucoptera,3,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0040,6/10/2026,6:38,Pale-winged Trumpeter,Psophia leucoptera,3,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0041,6/10/2026,6:40,Pale-winged Trumpeter,Psophia leucoptera,3,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0042,6/10/2026,6:40,Pale-winged Trumpeter,Psophia leucoptera,2,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0043,6/10/2026,6:40,Pale-winged Trumpeter,Psophia leucoptera,2,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0044,6/10/2026,6:40,Pale-winged Trumpeter,Psophia leucoptera,2,Nico Jaworski,FALSE,
MON03,NWJ15,DP20260607TO20260614,DSCF0004,6/8/2026,6:14,Spix's Guan,Penelope jacquacu,2,Addy Shultz,FALSE,
MON03,NWJ15,DP20260607TO20260614,DSCF0006,6/9/2026,8:49,Salvin's Curassow,Mitu salvini,2,Addy Shultz,FALSE,
MON03,NWJ15,DP20260607TO20260614,DSCF0007,6/9/2026,8:49,Salvin's Curassow,Mitu salvini,1,Addy Shultz,FALSE,Same bird as row above I think
MON02,NWJ01,DP20260607TO20260614,DSCF0004,6/7/2026,9:57,Black Agouti,Dasyprocta fuliginosa,1,Connor Munro,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0045,6/10/2026,6:41,Pale-winged Trumpeter,Psophia leucoptera,2,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0046,6/10/2026,14:53,Pale-winged Trumpeter,Psophia leucoptera,2,Nico Jaworski,FALSE,
MON03,NWJ15,DP20260607TO20260614,DSCF0010,6/10/2026,11:26,Zamora Red Brocket,Mazama zamora,1,Addy Shultz,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0052,6/11/2026,23:10,Mouse,N/A,1,Nico Jaworski,TRUE,Little mouse in night vision
MON01,NWJ20,DP20260607TO20260614,DSCF0053,6/12/2026,3:16,Nine Banded Armadillo,Dasypus novemcinctus,1,Nico Jaworski,FALSE,
MON01,NWJ20,DP20260607TO20260614,DSCF0054,6/12/2026,17:11,Green Acouchi,Myoprocta pratti,1,Nico Jaworski,FALSE,"Might be a young black agouti, but Carlos thinks its probably a green acouchi"
MON01,NWJ20,DP20260607TO20260614,DSCF0055,6/12/2026,17:11,Green Acouchi,Myoprocta pratti,1,Nico Jaworski,FALSE,In bottom of frame for a second
MON03,NWJ15,DP20260607TO20260614,DSCF0011,6/11/2026,1:42,Mouse,N/A,1,Addy Shultz,TRUE,
MON02,NWJ01,DP20260607TO20260614,DSCF0005,6/7/2026,14:56,Grey-Fronted Dove,Leptotilla Rufaxilla,2,Connor Munro,TRUE,
MON03,NWJ15,DP20260607TO20260614,DSCF0012,6/11/2026,4:57,Mouse,N/A,1,Addy Shultz,TRUE,
MON01,NWJ20,DP20260607TO20260614,DSCF0057,6/12/2026,17:14,Green Acouchi,Myoprocta pratti,1,Nico Jaworski,FALSE,
